Interest / Discount on Advances / Bills,Income from Investments,Interest on Balance with RBI and Other Inter-Bank funds,Others,Total Income,Payments to and Provisions for Employees,Operating Expenses (excludes Employee Cost & Depreciation),Total Provisions and Contingencies,Total Expenditure,Net Profit / Loss for The Year,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),a) % of Share by Govt.,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Cash EPS (Rs.),Book Value [Incl. Reval Reserve]/Share (Rs.),Operating Revenue / Share (Rs.),Net Profit/Share (Rs.),Interest Income/ Employee (Rs.),Net Profit/ Employee (Rs.),Business/ Employee (Rs.),Interest Income/ Branch (Rs.),Net Profit/ Branches (Rs.),Business/ Branches (Rs.),ROCE (%),CASA (%),Net Profit Margin (%),Operating Profit Margin (%),Return on Assets (%),Net Interest Margin (X),Cost to Income (%),Interest Income/Total Assets (%),Non-Interest Income/Total Assets (%),Operating Profit/Total Assets (%),Operating Expenses/Total Assets (%),Interest Expenses/Total Assets (%),EV Per Net Sales (X),Price To Book Value (X),Price To Sales (X),Retention Ratios (%),rank
0.0452303990793608,0.0116270787764458,0.0011059537302171,0.003238785034829,0.074323140345991,0.0068537982637171,0.0112587652836459,0.011273893204137,0.0577855244067775,0.0165376088535364,0.119645617798552,0.120819275172934,0.7543210619752,0.0759806786057774,0.0488789771604112,0.0425996714201497,0.0763138329690799,0.21982675321226,0.608674141290696,0.0066419861198105,0.0459436149880038,19.16,18.35,0.81,0.19,3.6,0.76,1.84,35.27,245.35,124.28,33.58,8160551.87,2205083.96,181738412.4,159421456.63,43077686.78,3550372927.65,2.92,48.69,27.02,5.58,1.65,3.36,40.65,6.12,1.31,0.34,1.89,2.75,18.75,3.03,5.88,94.06,1
0.0465598898104689,0.0134422469988362,0.0013262895455605,0.0029727510163335,0.0797173235028185,0.0065763695418102,0.0100755288781829,0.0164205976713817,0.0665571642651754,0.0131601511104207,0.11875714321892,0.119883998854777,0.757881495800323,0.0744705187771833,0.0477639865677169,0.0374105717023055,0.0707857174274662,0.228607825988497,0.596317947276888,0.0072150066755379,0.0596629228020829,19.12,18.06,1.06,0.34,4.96,1.14,1.42,24.96,213.25,114.38,23.41,8011976.81,1639765.48,168734303.89,150243583.36,30749495.06,3164168725.6,3.1,46.28,20.46,-3.5,1.31,3.16,42.57,6.43,1.54,-0.22,1.75,3.26,17.44,2.78,5.08,100.0,1
0.0523970648558906,0.0133591365312346,0.0006210593990532,0.0017224235492176,0.0830752323123143,0.0075305011270614,0.0112846169600337,0.018364075007296,0.0758546736483764,0.0072205586639379,0.104888761264867,0.106070745234406,0.701924118768699,0.148308383600845,0.0436967523960497,0.0321240709430738,0.0763605618768949,0.227184447722144,0.587500404578568,0.0076570983702459,0.0691734165090726,16.11,14.72,1.39,0.31,5.53,1.41,0.81,13.72,179.96,115.54,12.25,7531118.58,798519.16,142596981.88,140492705.86,14896341.85,2660140804.47,2.67,45.11,10.6,-11.38,0.72,3.02,45.79,6.8,1.49,-0.77,1.96,3.78,14.82,1.85,2.81,100.0,1
0.0497093319089771,0.0132684520645586,0.0007632153212502,0.0019965594188203,0.0807845101578433,0.007059127387614,0.0108909848592343,0.0208143600483234,0.0772972603349763,0.0034872394543615,0.111019642459714,0.112361461861811,0.676980118857289,0.171412101798194,0.0392463071141997,0.0392530984853013,0.0440021435848267,0.215387743482966,0.608264829049525,0.0082237075567171,0.0848684674721578,16.89,15.09,1.8,0.25,6.7,2.06,0.39,6.42,168.08,98.34,5.22,7307399.77,387642.38,142868072.08,130080411.57,6900495.69,2543221694.3,2.52,49.61,5.3,-17.58,0.34,2.8,48.98,6.57,1.5,-1.15,1.87,3.77,16.36,2.44,4.06,71.3,1
0.0464817036643172,0.0131577714174728,0.0007545361455548,0.0021248442144122,0.0823321343042946,0.0067265956736773,0.0102472259780818,0.0204325881360957,0.0746234177864522,0.0077087165178424,0.118140173611786,0.119609004278442,0.638059743593745,0.207985526118179,0.0343457373837502,0.0376510329130991,0.0580842011291403,0.230887946798616,0.582804376250499,0.0089895444115803,0.0815828984970651,18.42,15.92,2.5,0.17,8.84,4.77,0.87,11.76,163.57,85.5,10.54,6644491.59,819281.33,129753214.8,112935878.78,13925257.65,2205404754.67,2.91,51.68,12.33,-19.36,0.77,2.61,46.51,6.25,1.98,-1.21,1.78,3.63,16.19,1.75,3.26,78.49,1
0.0513135899600857,0.0147411195083853,0.0006419609857041,0.003472894134808,0.0954412749713669,0.0074290924057269,0.010707167072141,0.0216193895384562,0.0827421319580568,0.0126991430133101,0.127987567107669,0.129505282806644,0.634937145261197,0.191186556938406,0.0443710020368844,0.0410763944068051,0.0570240315567113,0.209261906179448,0.601499381730648,0.0101131076277147,0.0810251914555415,17.39,14.36,3.03,0.19,7.89,4.89,1.1,18.12,171.57,92.96,16.82,6537376.34,1183120.75,115193098.71,111662431.55,20208434.23,1967569379.38,3.59,50.36,18.09,-17.91,1.26,2.81,42.68,7.01,2.52,-1.25,1.91,4.2,14.17,1.67,2.98,99.99,0
0.0540355415209566,0.0147431972272324,0.0002195658052899,0.0041802559778746,0.0944400621011576,0.0041802559778746,0.012449592067436,0.0196161317039619,0.0809443549706387,0.0134957071305188,0.122889305061183,0.124512543515281,0.584748959719582,0.24255386223661,0.0481846484040199,0.037611036900348,0.0454597929138133,0.222579284915355,0.60395018642419,0.0105133502364592,0.0798863486098351,16.64,13.09,3.55,0.14,5.21,2.67,1.49,17.92,154.3,90.68,16.72,7307161.04,1347597.82,118696176.03,118515583.82,21856825.39,1925145282.02,3.47,45.82,18.44,-10.61,1.34,2.94,39.4,7.31,2.12,-0.77,1.75,4.37,13.4,1.58,2.61,70.1,1
0.0551454338186711,0.0184863465948123,0.000301951951443,0.0020435383760423,0.0948219976221786,0.0073512841369565,0.0094207306404574,0.0132242263773555,0.0775261557946088,0.0172958418275698,0.122672445324372,0.124478740160502,0.559582633995744,0.266846516120636,0.0490921251998961,0.0397024409774087,0.0257714829798228,0.288765782464373,0.599759329901296,0.0073135827041674,0.0386873809729319,17.02,12.78,4.24,0.06,3.78,1.61,1.86,20.41,138.71,84.66,19.27,7401381.02,1684887.74,112938140.26,121212691.11,27593468.89,1849592105.93,3.2,45.46,22.76,-2.03,1.72,2.94,32.7,7.59,1.88,-0.15,1.77,4.65,14.08,2.27,3.72,74.06,1
0.0528518876866969,0.0194353378382991,0.0003363034249976,0.0016702330166686,0.0918301407715215,0.007096896924026,0.0092707778692502,0.0114087211997519,0.0753320176500271,0.0164981399383473,0.121168301079787,0.123121780350442,0.558174320739562,0.260256018423737,0.0584478973031115,0.0366974505886386,0.033142266977025,0.297694991325699,0.5695912653804,0.0078671592390158,0.0550069001229278,17.7,12.78,4.92,0.03,3.03,0.97,1.78,89.92,633.86,382.48,84.94,6116655.05,1358302.69,92849708.72,117714236.08,26140359.71,1786880645.35,2.96,42.89,22.2,-1.39,1.64,2.77,31.3,7.42,1.75,-0.1,1.73,4.65,13.78,1.96,3.26,72.92,1
0.050934018198541,0.0205092755390198,0.001011522692438,0.0022024063278719,0.0902045079880448,0.0072528475878337,0.0086242285411621,0.0090793746316561,0.0746949094204882,0.0155095985675565,0.122109704962054,0.124267177908693,0.545112760804559,0.270758067125404,0.059861994161343,0.0354935149506325,0.0416635835511633,0.319290794759739,0.54070848839262,0.0086570530095417,0.0541865839653999,18.74,12.8,5.94,0.01,3.22,0.77,1.7,76.42,578.22,347.39,72.17,6457036.48,1341411.86,93911715.27,129276119.03,26856363.55,1880203421.94,2.61,41.89,20.77,-0.05,1.55,2.58,28.67,7.46,1.55,0.0,1.67,4.88,13.46,1.81,3.01,72.28,1
0.0351769904306616,0.0151321099906602,0.0008485953051725,0.0006733740348894,0.0625560626049045,0.0096044043592362,0.0061710366781597,0.0089622031575466,0.057921383775406,0.0046346788294985,0.0694608723838523,0.0750479016864924,0.854729084189396,0.0364277969596577,0.0337952307770444,0.0548323057438014,0.0698013641204583,0.237469484144469,0.572874712803258,0.013306239558377,0.0517158936296355,17.04,14.44,2.59,81.41,9.98,2.34,0.43,9.18,134.33,92.77,8.3,7346999.69,656960.12,202361360.31,74585359.26,6669335.55,2054334475.61,1.4,40.08,8.94,-11.75,0.46,1.91,40.33,5.18,1.07,-0.6,1.62,3.26,16.63,0.39,0.49,100.0,2
0.0377577963246038,0.0159091787363741,0.0015734378333346,0.0006927265026025,0.0661851665022746,0.0089177274652584,0.005502341406486,0.0120022629818884,0.0632089581900112,0.0029762083122633,0.0584246788741768,0.0629402549223059,0.863963611537791,0.0447252483600579,0.0242378365584545,0.0836220026700871,0.0907660185426471,0.257975044514656,0.50380005578238,0.0122808442357989,0.0515560342544314,14.93,11.96,2.97,89.1,13.77,3.35,0.28,7.73,139.38,123.87,6.59,7889667.21,419809.69,192930310.34,79857274.78,4249210.66,1952793241.54,1.53,36.68,5.32,-13.0,0.29,1.96,40.69,5.59,1.02,-0.72,1.49,3.62,15.3,0.56,0.55,100.0,2
0.0438431326803039,0.0162925778423924,0.0037009843659807,0.0006283757081555,0.0746829186709168,0.0093477812054353,0.0059744246642305,0.0220329369693684,0.0791835432414238,-0.0045006245705069,0.0617030881247463,0.0666919656737973,0.845523290358101,0.0605064588876623,0.027278300301244,0.0445044918726077,0.0870889553151872,0.241360853806787,0.561470072823028,0.0136713269321122,0.051904284029473,13.1,9.9,3.2,89.1,14.78,3.88,-0.43,-7.85,133.68,129.22,-9.02,8510311.41,-594145.96,185743219.94,82931793.22,-5789869.2,1810041673.59,1.8,36.51,-6.98,-22.83,-0.45,2.32,50.8,6.44,1.02,-1.47,1.59,4.12,13.61,0.28,0.25,100.0,2
0.043585020022621,0.0159509367891934,0.0045386377759328,0.0011306688667995,0.0734135368439195,0.0096302303991325,0.0068931422914748,0.0218147980646388,0.0822854136294829,-0.0088718767855633,0.062251612561051,0.0666660706125195,0.833082729351346,0.0707606427174029,0.0220724022174237,0.0467618233524546,0.104882476782198,0.236138270316548,0.545415039540142,0.014266977194883,0.0525354128137737,14.19,11.07,3.12,87.05,15.84,5.61,-0.84,-18.77,151.02,147.71,-20.1,8352861.54,-1136496.92,176587024.98,79640186.17,-10835906.43,1683665350.26,1.32,35.9,-13.6,-26.19,-0.88,2.18,53.02,6.52,0.82,-1.7,1.71,4.33,13.85,0.81,0.71,100.0,0
0.041496628067796,0.0150162860234895,0.0044813202014919,0.0014614448565732,0.0718618418020967,0.0080437540375477,0.0060335824561522,0.0216259421341265,0.0817764572070667,-0.0099146318098468,0.0554434473614995,0.0583039985427219,0.854455194614909,0.0715068566725433,0.0157339665747025,0.0514257453838768,0.105868314805583,0.224929087049083,0.560029996645367,0.01355910643489,0.0441877332763231,12.94,9.73,3.21,83.09,16.58,8.26,-0.91,-31.68,203.82,218.33,-34.66,7820749.57,-1241517.07,177122959.1,74256697.68,-11787995.12,1681752613.42,1.18,34.1,-15.87,-30.93,-0.99,1.72,50.87,6.24,0.94,-1.93,1.49,4.52,14.48,0.6,0.47,100.0,2
0.0434096400968167,0.0144655690630285,0.0032128057117851,0.001645928057236,0.0735470193503602,0.0086165417925236,0.0055589948397219,0.0180277868152901,0.0760351191991777,-0.0024880838822647,0.0474361811697278,0.049121355013634,0.862244957670833,0.062917270887592,0.0229671197426153,0.0436647856098313,0.109435215608417,0.204095430361425,0.585144891756113,0.0135106734090012,0.0441490032552128,12.14,8.9,3.24,73.72,13.22,6.9,-0.24,-14.88,291.49,372.27,-14.76,8228450.74,-326348.65,189845795.79,78331045.26,-3106688.2,1807244168.46,1.59,31.89,-3.96,-21.2,-0.24,1.88,43.75,6.27,1.08,-1.33,1.41,4.38,14.43,0.48,0.37,100.0,1
